Muestra,Subgrupo,Valor
1,1,100.99342830602247
2,1,99.72347139765763
3,1,101.29537707620139
4,1,103.04605971281605
5,1,99.53169325055333
6,2,99.53172608610164
7,2,103.15842563101478
8,2,101.53486945830582
9,2,99.0610512281301
10,2,101.08512008717193
11,3,99.07316461437507
12,3,99.06854049285948
13,3,100.48392454313206
14,3,96.1734395106844
15,3,96.55016433497393
16,4,98.87542494151805
17,4,97.97433775933115
18,4,100.62849466519054
19,4,98.18395184895758
20,4,97.17539259732942
21,5,102.93129753784311
22,5,99.54844739902693
23,5,100.13505640937585
24,5,97.15050362757309
25,5,98.91123455094963
26,6,100.22184517941973
27,6,97.69801284515539
28,6,100.75139603669135
29,6,98.7987226201624
30,6,99.41661250041345
31,7,98.7965867755412
32,7,103.70455636901788
33,7,99.97300555052414
34,7,97.8845781420882
35,7,101.64508982420638
36,8,97.55831270005795
37,8,100.41772719000951
38,8,96.08065975224045
39,8,97.34362790220314
40,8,100.39372247173824
41,9,101.47693315999082
42,9,100.34273656237994
43,9,99.76870343522351
44,9,99.39779260882142
45,9,97.04295601926515
46,10,98.56031158321058
47,10,99.07872245808042
48,10,102.11424445243783
49,10,100.68723657913692
50,10,96.47391968927454
51,11,100.64816793878958
52,11,99.22983543916737
53,11,98.64615599938809
54,11,101.22335257768174
55,11,102.06199904499191
56,12,101.86256023823239
57,12,98.32156495355473
58,12,99.38157524829757
59,12,100.66252686280713
60,12,101.95109025424472
61,13,99.04165152430942
62,13,99.62868204667237
63,13,97.78733005198794
64,13,97.60758675183865
65,13,101.6250516447884
66,14,102.71248005714165
67,14,99.85597975683933
68,14,102.00706579578404
69,14,100.72327205009528
70,14,98.70976049078975
71,15,103.72279121101683
72,15,106.07607313293194
73,15,102.9283479217801
74,15,106.12928731162802
75,15,97.76050979182051
76,16,104.64380500875045
77,16,103.17409413647634
78,16,102.40198529906826
79,16,103.183521553071
80,16,99.02486217079822
81,17,102.56065622432497
82,17,103.7142251430235
83,17,105.95578808948304
84,17,101.9634595634527
85,17,101.38301279421363
86,18,101.99648591283092
87,18,104.83080423540414
88,18,103.65750221931937
89,18,101.94047959246592
90,18,104.02653486622671
91,19,103.19415509869609
92,19,104.93728998106577
93,19,101.5958938122453
94,19,102.34467570680447
95,19,102.21578369373569
96,20,100.07297010373577
97,20,103.59224055412915
98,20,103.52211054435978
99,20,103.01022691328492
100,20,102.5308257332497
